"athlete","gold","silver","bronze","country","total"
"ANDRIANOV, Nikolay",7,5,3,"Soviet Union",""
"ASTAKHOVA, Polina",5,2,3,"Soviet Union",""
"BIONDI, Matthew",8,2,1,"United States",""
"CASLAVSKA, Vera",7,4,0,"Czechoslovakia",""
"CHUKARIN, Viktor Ivanovich",7,3,1,"Soviet Union",""
"COMANECI, Nadia",5,3,1,"Romania",""
"COUGHLIN, Natalie",3,4,4,"United States",""
"DITYATIN, Aleksandr",3,6,1,"Soviet Union",""
"FISCHER, Birgit",8,4,0,"East Germany",""
"GAUDINI, Giulio",3,4,2,"Italy",""
"GEREVICH, Aladar",7,1,2,"Hungary",""
"HALL, Gary Jr.",5,3,2,"United States",""
"KATO, Sawao",8,3,1,"Japan",""
"KELETI, Agnes",5,3,2,"Hungary",""
"LATYNINA, Larisa",9,5,4,"Soviet Union",""
"LEWIS, Carl",9,1,0,"United States",""
"MANGIAROTTI, Edoardo",6,5,2,"Italy",""
"NAKAYAMA, Akinori",6,2,2,"Japan",""
"NEMOV, Alexei",4,2,6,"Russia",""
"NURMI, Paavo",9,3,0,"Finland",""
"ONO, Takashi",5,4,4,"Japan",""
"OSBURN, Carl Townsend",5,4,2,"United States",""
"PHELPS, Michael",14,0,2,"United States",""
"SCHERBO, Vitaly",6,0,4,"Unified team",""
"SHAKHLIN, Boris",7,4,2,"Soviet Union",""
"SPITZ, Mark",9,1,1,"United States",""
"THOMPSON, Jenny",8,3,1,"United States",""
"TORRES, Dara",4,4,4,"United States",""
"VAN ALMSICK, Franziska",0,4,6,"Germany",""
